"Country","Continent","Year","X0_19","X20_44","X45_64","X65_100","Total"
"United Republic of Tanzania","AFRICA",2020,34531088,20238280,6053164,1952087,62774619
"United Republic of Tanzania","AFRICA",2040,53479852,38203420,13159009,4217237,109059518
"United Republic of Tanzania","AFRICA",2060,72264626,61608479,26121097,10049032,170043234
"United Republic of Tanzania","AFRICA",2080,87017630,85451364,44109099,22046406,238624499
"United Republic of Tanzania","AFRICA",2100,95453642,104722296,63287595,40368282,303831815
"Uganda","AFRICA",2020,27413580,15063905,3692227,1017991,47187703
"Uganda","AFRICA",2040,42376880,29806337,9054439,2367305,83604961
"Uganda","AFRICA",2060,54656743,48475181,19731130,6369556,129232610
"Uganda","AFRICA",2080,61516768,64683917,34225668,15354276,175780629
"Uganda","AFRICA",2100,62557003,74445158,47614848,29141205,213758214
"Sudan","AFRICA",2020,22082685,14751888,5100683,1605947,43541203
"Sudan","AFRICA",2040,29646014,25033381,9433669,3244400,67357464
"Sudan","AFRICA",2060,35535020,34602661,17253243,6225515,93616439
"Sudan","AFRICA",2080,39510112,42619125,24685587,11874502,118689326
"Sudan","AFRICA",2100,40587139,48129154,31508435,18423345,138648073
"South Africa","AFRICA",2020,21823082,23673751,9856043,3368353,58721229
"South Africa","AFRICA",2040,21523360,26185174,15462769,5905087,69076390
"South Africa","AFRICA",2060,20112276,26720150,18246431,10288000,75366857
"South Africa","AFRICA",2080,18339618,25182573,19802572,14268659,77593422
"South Africa","AFRICA",2100,16773826,23086497,19244814,17382561,76487698
"Nigeria","AFRICA",2020,111518467,67038922,21945338,5649974,206152701
"Nigeria","AFRICA",2040,162302704,118471167,41265059,11133162,333172092
"Nigeria","AFRICA",2060,207403459,184244262,77691478,23304159,492643358
"Nigeria","AFRICA",2080,235343753,244395779,127877246,49066883,656683661
"Nigeria","AFRICA",2100,243569903,283257246,177181477,89933690,793942316
"Niger","AFRICA",2020,14631030,6619017,2204615,620031,24074693
